id,question_ki,suggested_fix,english_gloss,topic,est_seconds,dialect_note,status,reviewer
Q001,Warerwo kũ?,,Where were you raised / Where did you grow up?,bio,6,,NEEDS_REVIEW,
Q002,Ũenda gũigua marũgano?,,Do you like listening to stories?,culture,6,,NEEDS_REVIEW,
Q003,Ũmenyete atĩa ũhoro wa Mau Mau?,,What do you know about the Mau Mau?,history,8,,NEEDS_REVIEW,
Q004,Witĩkĩrĩria atĩa ũhoro wa kũhota na wĩathi?,,What does freedom mean to you?,values,8,,NEEDS_REVIEW,
Q005,Nĩ atĩa mũciarĩ wanyu ũtũhũ? Hingo ciothe cĩarĩ atĩa?,,Describe your hometown. How was it growing up there?,bio,10,,NEEDS_REVIEW,
Q006,Andũ a nyũmba yanyu nĩ aarĩ? Tũhe mathirĩo mao.,,Who is in your household? Tell us about them.,family,10,,NEEDS_REVIEW,
Q007,Mbarĩ yanyu nĩ ĩrĩa? Ũhoro wa ithamaki ciayo nĩ atĩa?,,Which clan are you? Tell us about its leaders.,genealogy,10,,NEEDS_REVIEW,
Q008,Ũikaraga na itũra rĩa ũtũhũ rĩki?,,Which town do you live in now?,bio,6,,NEEDS_REVIEW,
Q009,Ũkũhũthaga mĩhũni ya ũthaka atĩa?,,How do you celebrate special occasions?,culture,8,,NEEDS_REVIEW,
Q010,Njũgũma cia mũciĩ wanyu nĩ cĩa atĩa?,,What are your family’s favorite foods?,food,8,,NEEDS_REVIEW,
Q011,Muratina mũrathimwo atĩa na rĩrĩa mũrĩ kũrĩkia?,,How is muratina prepared and when is it served?,rituals,12,,NEEDS_REVIEW,
Q012,Mwati na harĩka nĩ mũtugo mũgĩkũyũ ũtũgĩa atĩa?,,What does ‘mwati na harika’ (sheep & goat rite) signify?,rituals,10,,NEEDS_REVIEW,
Q013,Ndũgĩte ũhoro wa kũhikania kwa Agĩkũyũ.,,Tell us about Kikuyu marriage ceremonies.,marriage,10,,NEEDS_REVIEW,
Q014,Ngemi cia kũhikania nĩ cĩa atĩa? Rĩu nĩ cĩgĩtũmwo atĩa?,,What are marriage dances? Are they still done today?,marriage,10,,NEEDS_REVIEW,
Q015,Ũrutaga atĩa gũciarĩria rũciaro rwa mbarĩ yawe?,,How do you pass on your clan history to children?,genealogy,9,,NEEDS_REVIEW,
Q016,Wĩ mũrutani kana mũrata wa gĩkũyũ? Ũrutaga atĩa?,,Do you teach or mentor Kikuyu culture? How?,culture,9,,NEEDS_REVIEW,
Q017,Mau Mau nĩ marutire atĩa ũhoro wa thĩ na wĩathi?,,How did Mau Mau shape land and freedom?,history,10,,NEEDS_REVIEW,
Q018,Ndũhe rũgano rwa mũthamaki ũrĩa wamutongoria mũno.,,Tell a story about a leader you admire.,leadership,9,,NEEDS_REVIEW,
Q019,Ndũgĩte atĩa ũhoro wa kũheana rungu rwa ũthamaki?,,Describe the rite of handing over leadership.,leadership,10,,NEEDS_REVIEW,
Q020,Mũgumo ũrĩ na wendo mũno mũtugo-inĩ. Ũmenyaga atĩa?,,Sacred fig tree (mugumo) is central; what do you know?,spirituality,10,,NEEDS_REVIEW,
Q021,Njuguma cia kũigua atumia na atheru cionekaga atĩa rĩu?,,How are elders’ councils recognized today?,society,9,,NEEDS_REVIEW,
Q022,Ndũhe rũgano rwa mũgo wa tene ũrĩa wĩ na wendo nao.,,Share a story about a traditional healer you respect.,health,10,,NEEDS_REVIEW,
Q023,Mwaki wa nyũmba nĩ wa atĩa tene na rĩu?,,How was the hearth used then vs now?,home,9,,NEEDS_REVIEW,
Q024,Ndũhoyage atĩa rĩrĩa ũrĩ na thirikari ya mũthoni?,,How do you pray during family rites?,faith,8,,NEEDS_REVIEW,
Q025,Mĩhũni ya mbarĩ yanyu nĩ ĩrĩa? Nyimbo ciake nĩ cĩa atĩa?,,What are your clan ceremonies and songs?,music,10,,NEEDS_REVIEW,
Q026,Tũteithanie na ũhoro wa gĩthaka: wĩkĩrĩria atĩa kũgwatĩra thĩ?,,Let’s talk land: what does ‘holding land’ mean to you?,values,11,,NEEDS_REVIEW,
Q027,Ũikaraga rĩrĩa na diaspora? Ndũgĩte ũhoro wa ũrugendo rwawe.,,Do you live in the diaspora? Tell your journey.,diaspora,10,,NEEDS_REVIEW,
Q028,Ũcookaga nyũmba kũ? Nĩ atĩa ũrĩa ũrĩ na wendo na kwanyu?,,Do you go back home? What keeps you connected?,diaspora,9,,NEEDS_REVIEW,
Q029,Mature na maũndũ ma kwandĩka marĩ mũno? Ũhoro wa nyandũrũ nĩ atĩa?,,What books matter to you? Any authors?,literature,10,,NEEDS_REVIEW,
Q030,Ndirĩrĩ cianyu nĩ cĩa atĩa? Matarumbeta kana thumari ũkũonda?,,What music do you love—horns or strings?,music,9,,NEEDS_REVIEW,
Q031,Ndũtũma atĩa mahuti ma gĩkũyũ matũrũmũte rĩu?,,How can Kikuyu arts be revived today?,arts,9,,NEEDS_REVIEW,
Q032,Ũikũagia thakame-inĩ nĩ kũgĩa atĩa? (gũtũmĩra nyama cia kiama),,What do ritual meat portions symbolize?,rituals,11,,NEEDS_REVIEW,
Q033,Ndũhe kĩrĩa wĩrĩa wa metha ya kiama ũkũigua.,,Share what you know about the elders’ bench (kiama).,society,10,,NEEDS_REVIEW,
Q034,Nĩ atĩa ũrĩa ũgũciarĩria watho wa ndũrĩra yawe?,,How would you teach your children moral law?,values,9,,NEEDS_REVIEW,
Q035,Ngatho ya mũciarĩ wanyu nĩ ĩrĩa? Ndũrĩrĩ cia guthemba nĩ cĩa atĩa?,,What are your hometown’s blessings and challenges?,community,11,,NEEDS_REVIEW,
Q036,Nĩ atĩa ũguo ũkũigua kũgĩa rũgendo rwa kĩrugũ?,,What does migration mean to you?,diaspora,8,,NEEDS_REVIEW,
Q037,Ũhe mĩhianano ya tene na rĩu gũkũrũka thirikari-inĩ.,,Compare past and present governance.,society,9,,NEEDS_REVIEW,
Q038,Ndũgĩte rũgano rwa mwana ũrĩa waku metĩrĩtie mũno.,,Tell a story about a child who inspired you.,family,10,,NEEDS_REVIEW,
Q039,Wĩ mũthomithia? Tũhe ũhoro wa gathimũ kawe.,,Are you a teacher? Tell us about your work.,work,8,,NEEDS_REVIEW,
Q040,Mĩciĩ ya andũ a itũra rĩanyu ĩrĩ na wĩhokeku mũno atĩa?,,How do neighbors support each other where you live?,community,10,,NEEDS_REVIEW,
Q041,Nĩ kĩ ũrĩa wenda kũmenyeka na rũgano rwawe rũrĩa rũgũũ?,,What part of your life story do you want known?,bio,10,,NEEDS_REVIEW,
Q042,Ũhoro wa ciugo cia kũheana maitu nĩ atĩa?,,What’s your favorite proverb from your mother’s side?,proverbs,9,,NEEDS_REVIEW,
Q043,Ndũgĩte atĩa ũhoro wa kũthomithia gĩkũyũ kwa arĩa atheru.,,How do you teach Kikuyu to elders/new learners?,education,10,,NEEDS_REVIEW,
Q044,Ndũhe rũgano rwa nduma kana mũtura mũrathi wa mũciĩ.,,Tell a story about your favorite food tradition.,food,9,,NEEDS_REVIEW,
Q045,Mĩthenya ya kambĩ ya Mau Mau yamenyererwo atĩa kwanyu?,,How were Mau Mau camps remembered in your area?,history,10,,NEEDS_REVIEW,
Q046,Rũgano rwa kũhingia mũgumo rũgĩaga atĩa?,,How is the story of felling a mugumo told?,spirituality,9,,NEEDS_REVIEW,
