id	question_ki	english_gloss	topic	est_seconds
S001	Warereirwo ku?	Where were you raised / Where did you grow up?	bio	6
S002	Mũciĩ waku ũku?	Where is your home?	bio	6
S003	Ritwa rĩaku nĩ rĩ?	What is your name?	bio	5
S004	Ũikaraga kũrĩ ũmwe kana na andũ aingi?	Do you live alone or with others?	bio	7
S005	Andũ a nyũmba yanyu nĩ aarĩ?	Who is in your household?	family	8
S006	Ũmenyete atĩa ũhoro wa Mau Mau?	What do you know about the Mau Mau?	history	8
S007	Muratina mũrathimwo atĩa?	How is muratina prepared?	rituals	8
S008	Mwati na harika nĩ wĩ mũtugo ũtũgĩa atĩa?	What does ‘mwati na harika’ signify?	rituals	9
S009	Ndũgĩte ũhoro wa kũhikania kwa Agĩkũyũ.	Tell about Kikuyu marriage ceremonies.	marriage	10
S010	Nyimbo cia mbarĩ yanyu nĩ cĩa atĩa?	What are your clan’s songs like?	music	8
S011	Mũgumo nĩ wĩ na wendo atĩa kũndũ kwanyu?	What place does the mugumo have where you’re from?	spirituality	9
S012	Ndũhe rũgano rũmwe rwa tene kũu kwanyu.	Share one old story from your home area.	culture	9
